reviewerID,ReviewTime,Category,Attribute,Score,Reason
AMTDEF7SAP17N,2014-12-06 00:00:00 UTC,Innerwear,Comfort,4,The reviewer says the thigh-highs are perfect and have an exceptional grip.
AMTDEF7SAP17N,2014-12-06 00:00:00 UTC,Innerwear,Design and Aesthetics,5,The reviewer mentions the lace and sheerness are extremely flattering.
AMTDEF7SAP17N,2014-12-06 00:00:00 UTC,Innerwear,Durability and Strength,2,The reviewer says they seem too fragile for everyday wear.
AMTDEF7SAP17N,2014-12-06 00:00:00 UTC,Innerwear,Price,5,The reviewer believes they're worth every bit of $15 and they got them for $9.
AMTDEF7SAP17N,2014-12-06 00:00:00 UTC,Innerwear,Others,5,The reviewer mentions the fit for A/B is just right.
A3QS9OKQWSS9NS,2014-12-06 00:00:00 UTC,Innerwear,Comfort,5,The reviewer states the bra is comfortable.
A3QS9OKQWSS9NS,2014-12-06 00:00:00 UTC,Innerwear,Design and Aesthetics,4,The reviewer mentions the design is smart.
A3QS9OKQWSS9NS,2014-12-06 00:00:00 UTC,Innerwear,Durability and Strength,,
A3QS9OKQWSS9NS,2014-12-06 00:00:00 UTC,Innerwear,Price,,
A3QS9OKQWSS9NS,2014-12-06 00:00:00 UTC,Innerwear,Others,5,The reviewer says the bra fit well.
A1FWOGYIP4441F,2014-12-06 00:00:00 UTC,Tops,Comfort,4,The reviewer mentions you will feel how well made these shirts are when you put them on.
A1FWOGYIP4441F,2014-12-06 00:00:00 UTC,Tops,Design and Aesthetics,,
A1FWOGYIP4441F,2014-12-06 00:00:00 UTC,Tops,Durability and Strength,5,The reviewer mentions Carhartt is one of the few brands that hold up to the punishment.
A1FWOGYIP4441F,2014-12-06 00:00:00 UTC,Tops,Price,,
A1FWOGYIP4441F,2014-12-06 00:00:00 UTC,Tops,Others,5,The reviewer says the fit on these shirts is true.
A39U6NKMGDLNNB,2014-12-07 00:00:00 UTC,Other,Comfort,5,The reviewer describes the item as soft.
A39U6NKMGDLNNB,2014-12-07 00:00:00 UTC,Other,Design and Aesthetics,4,The reviewer describes the item as attractive.
A39U6NKMGDLNNB,2014-12-07 00:00:00 UTC,Other,Durability and Strength,,
A39U6NKMGDLNNB,2014-12-07 00:00:00 UTC,Other,Price,,
A39U6NKMGDLNNB,2014-12-07 00:00:00 UTC,Other,Others,,
A24T5A5I7RO1HL,2014-12-07 00:00:00 UTC,Tops,Comfort,,
A24T5A5I7RO1HL,2014-12-07 00:00:00 UTC,Tops,Design and Aesthetics,,
A24T5A5I7RO1HL,2014-12-07 00:00:00 UTC,Tops,Durability and Strength,4,The reviewer states the seams are well made and the fabric is thicker than most other brands.
A24T5A5I7RO1HL,2014-12-07 00:00:00 UTC,Tops,Price,,
A24T5A5I7RO1HL,2014-12-07 00:00:00 UTC,Tops,Others,,
A3V5WZ30QS4PJ1,2014-12-07 00:00:00 UTC,Bottoms,Comfort,,
A3V5WZ30QS4PJ1,2014-12-07 00:00:00 UTC,Bottoms,Design and Aesthetics,5,The reviewer states these were exactly the style that I expected.
A3V5WZ30QS4PJ1,2014-12-07 00:00:00 UTC,Bottoms,Durability and Strength,5,The reviewer states these were exactly the quality that I expected.
A3V5WZ30QS4PJ1,2014-12-07 00:00:00 UTC,Bottoms,Price,5,The reviewer mentions the price is right.
A3V5WZ30QS4PJ1,2014-12-07 00:00:00 UTC,Bottoms,Others,,
A1VEJ7MLQK6UNK,2014-11-06 00:00:00 UTC,Bottoms,Comfort,5,The reviewer states the items are 'incredibly comfortable'.
A1VEJ7MLQK6UNK,2014-11-06 00:00:00 UTC,Bottoms,Design and Aesthetics,,
A1VEJ7MLQK6UNK,2014-11-06 00:00:00 UTC,Bottoms,Durability and Strength,,
A1VEJ7MLQK6UNK,2014-11-06 00:00:00 UTC,Bottoms,Price,,
A1VEJ7MLQK6UNK,2014-11-06 00:00:00 UTC,Bottoms,Others,,The reviewer mentions the pockets are nice.
ASYX098S8OD62,2014-11-06 00:00:00 UTC,Tops,Comfort,,
ASYX098S8OD62,2014-11-06 00:00:00 UTC,Tops,Design and Aesthetics,,
ASYX098S8OD62,2014-11-06 00:00:00 UTC,Tops,Durability and Strength,5,The reviewer states that the shirts 'hold up to the wear and tear'.
ASYX098S8OD62,2014-11-06 00:00:00 UTC,Tops,Price,,
ASYX098S8OD62,2014-11-06 00:00:00 UTC,Tops,Others,,The reviewer mentions the shirts are long.
A15SF47EQF433C,2014-11-07 00:00:00 UTC,Other,Comfort,,
A15SF47EQF433C,2014-11-07 00:00:00 UTC,Other,Design and Aesthetics,,
A15SF47EQF433C,2014-11-07 00:00:00 UTC,Other,Durability and Strength,,
A15SF47EQF433C,2014-11-07 00:00:00 UTC,Other,Price,5,The reviewer states the item is 'Worth every cent'.
A15SF47EQF433C,2014-11-07 00:00:00 UTC,Other,Others,,
ALWIHC8E6TWML,2014-11-07 00:00:00 UTC,Other,Comfort,,
ALWIHC8E6TWML,2014-11-07 00:00:00 UTC,Other,Design and Aesthetics,,
ALWIHC8E6TWML,2014-11-07 00:00:00 UTC,Other,Durability and Strength,,
ALWIHC8E6TWML,2014-11-07 00:00:00 UTC,Other,Price,,
ALWIHC8E6TWML,2014-11-07 00:00:00 UTC,Other,Others,5,The reviewer simply says 'Love'.
AAKLGFGXEYK72,2014-11-07 00:00:00 UTC,Accessories,Comfort,,
AAKLGFGXEYK72,2014-11-07 00:00:00 UTC,Accessories,Design and Aesthetics,4,The reviewer states it's a 'nice looking wallet for the price'.
AAKLGFGXEYK72,2014-11-07 00:00:00 UTC,Accessories,Durability and Strength,,The reviewer mentions time will tell how long it will last.
AAKLGFGXEYK72,2014-11-07 00:00:00 UTC,Accessories,Price,,
AAKLGFGXEYK72,2014-11-07 00:00:00 UTC,Accessories,Others,,"The reviewer mentions that it met their checklist for slots, ID, bills, and coins."
A2MJ0B3PBH8AL1,2014-11-07 00:00:00 UTC,Footwear,Comfort,,
A2MJ0B3PBH8AL1,2014-11-07 00:00:00 UTC,Footwear,Design and Aesthetics,,
A2MJ0B3PBH8AL1,2014-11-07 00:00:00 UTC,Footwear,Durability and Strength,,
A2MJ0B3PBH8AL1,2014-11-07 00:00:00 UTC,Footwear,Price,,
A2MJ0B3PBH8AL1,2014-11-07 00:00:00 UTC,Footwear,Others,3,The reviewer mentions they run narrow but the length was perfect and nicely made.
A2E0DEG4OU49XD,2014-11-07 00:00:00 UTC,Footwear,Comfort,5,The reviewer states that the shoes are 'very comfortable'.
A2E0DEG4OU49XD,2014-11-07 00:00:00 UTC,Footwear,Design and Aesthetics,4,The reviewer mentions that the shoes 'match with anything and look really nice'.
A2E0DEG4OU49XD,2014-11-07 00:00:00 UTC,Footwear,Durability and Strength,4,The reviewer mentions that they still look brand new.
A2E0DEG4OU49XD,2014-11-07 00:00:00 UTC,Footwear,Price,,
A2E0DEG4OU49XD,2014-11-07 00:00:00 UTC,Footwear,Others,-1,"The reviewer mentions the wide was a little too wide, they do run a little wide."
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Comfort,,
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Comfort,,
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Comfort,,
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Comfort,,
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Design and Aesthetics,,
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Design and Aesthetics,,
A3GDP6VJYFHJBT,2014-11-07 00:00:00 UTC,Innerwear,Design and Aesthetics,,
