reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
ACNON4BZACUUL,B0000TIJ7C,"mommyofchristopher ""mommyofchristopher""","[4, 7]","The watch keeps losing minutes, and the light won't come on, anymore.  Took it in for a new battery, and that didn't do anything for it.  Too expensive, $28, for it to fall apart so quickly.",1,"Only 6 months, and malfunctioning....",1217030400,2008-07-26 00:00:00
AK936V28HVQS4,B0000C321X,Alexis Lira,"[0, 1]","The material is too hard, shrank after washing, do not meet the stated features, I do not recommend purchasing this bluejean, sorry I wasted my money on this product and the worst is that nobody is responsible for the poor quality of the product and deception suffered, lo us&eacute; una sola vez y luego lo tuve que desechar, se encogio tanto que no puede volver a usarlo",1,The worst jean than someone can buy,1259798400,2009-03-12 00:00:00
AV54XFZHFHN2L,B00012O12A,"GardenerbobW ""GardenerbobW""","[2, 2]","I bought these thinking 'What a nice color'. Little did I realise that the dye used for this color has a really unpleasant smell. I washed them repeatedly in my very efficient and eco-friendly Asko washer, but the smell remained. If the jeans were mixed with other laundry, the odor would contaminate the other clothes. So, they were returned to Amazon. Thankfully, they accepted them.(This, in many years of online purchase, has been my only return).I wish I could say something better, but the truth must be told.",1,What is that odor?,1246838400,2009-06-07 00:00:00
AJ8AQG2X9JJ2Y,B00020J16M,"Donald Gillies ""secretbearer""","[4, 4]","This is the 10th Timex Ironman watch I've purchased since 1987, and it will be my very last.  Timex has begun using ""chi chi"" watch bands.  Well, my wife looked down at her christmas present after only 4 months, and the watch WAS GONE FROM THE BAND!  What a piece of garbage, I'm out $35 !!If you use Timex Ironman watches, you know that the plastic bands eventually fail.  What are you going to do when this band fails?  NOTHING AT ALL, YOU'RE GONNA HAVE TO THROW IT AWAY !!!I'd rather own a happy meal than this watch.  From now on, I'm going to buy the Ladies Expedition model, which uses standard watch bands.  TIMEX THIS IS MY LAST IRON MAN PURCHASE !!!",1,Nonstandard Band; Watch Fell off; Wasted $35!,1249603200,2009-07-08 00:00:00
A3LUA9XS9YY0M6,B0000C321X,Curious,"[8, 9]","Although advertised as pre-shrunk, these continue to shrink drastically, and the wrinkles are hideous.  Got two different colors, same results.  Ordered the 517's as well, and they stayed true to fit without the wrinkles.",1,Other Levi choices are better,1231372800,2009-08-01 00:00:00
AYOMAHLWRQHUG,B0000868O9,Conspicuous Consumer,"[4, 7]","I was looking for a casual bra to wear when I worked in the yard and chose this one based on reviews and price.  It's going back.The bra is thin with old fashioned pointed nipples.  The material fails to stretch to adapt to breast dimensions, causing some areas to be too tight and others too loose.  It felt uncomfortable (not too tight - just too rough) as soon as I put it on.Because it's a Bali, it's probably durable and would hold up over time better than cheaper bras but I just can't get over the positive reviews so I'm giving it only one star.For a better fitting and much more comfortable bra, try a Victoria's Secrets wireless cotton bra.  It gives you the smooth coverage you want, excellent support, and you won't even know you are wearing it.",1,Neither Comfortable Nor Attractive,1277942400,2010-01-07 00:00:00
AXK04B6U1YFKI,B0000C321X,"Peter S. Oliphant, Ph.D.","[0, 3]","Don't be as stupid as the Levi Corporation.  Although Levi jeans manufactured in the 1950's sell for thousands of dollars in New York, the company has relentlessly degraded the product for 40 years now, trading on their name alone.  They are actually so stupid as to try to compete with the slaves in a Chinese concentration camp by accepting products manufactured in Africa and South America.  The original rivets are gone, their ""denim"" fabric is the worst quality; all seams fray, especially cuffs; belt loops fall apart; and the only appearance achieved is shabby tissue.  These fools do not have the intelligence to realize that people would pay hundreds of dollars for jeans produced on the design, material, and workmanship of the 1940's. Stop living in the past.",1,Rags,1265587200,2010-08-02 00:00:00
AZCOTN09OQM1A,B00008KH9C,SET67,"[1, 1]","I thought that these would be kind of like cut-off control top panty hose. They're more like just cut-off regular pantyhose. There was no 'control' at all in the 4 pair I bought, following their sizing charts. Unlike other reviewers, I didn't find them too tight, in fact I thought they'd be tighter. Regular firm control briefs are better. Waste of money.",1,Not what I expected,1293408000,2010-12-27 00:00:00
AJGN47OUGFDIT,B00005JHKE,flyladyjax,"[0, 0]","Yelp, I guarantee this costume will rip on the 1st day of play.  It is really cheaply made.  It's the same cheap costumes that you find in walmart for 7-10 bucks.  And I had to cut out a nose and mouth it doesn't give them a place to breath out of .  YOU GET WHAT YOU PAY FOR so don't pay over 10 bucks for this temporary costume",1,Guaranteed to Rip on Your 1st day of play,1298332800,2011-02-22 00:00:00
A27HLTDITCL1O8,B00008I8YM,L. Wick,"[2, 4]","Fits like a sack, styled like something my mother might have worn - very late in life. Not nice at all. I DON'T wear tiny underwear, but there's enough fabric in these for two pair, going on three. Yuck.",1,Not nice,1303344000,2011-04-21 00:00:00
A304A9NJ8QHL44,B0001YSBEW,Freddie41,"[14, 18]","I ordered two of these Carhartt long sleeve shirts, one in ""Ash"" color, the other ""Navy"" blue. I've had some trouble finding real cotton long sleeve T-shirts (I mean NOT cotton/algodon which is thin and rough feeling) the reason I bought them at Amazon was I've returned so many bought at JCP and Macy and thought I read the description to trust Amazon. ok, the shirts arrived and right away I notice the Ash shirt has that rough feel. Each is made in another country, the Ash is marked 99% cotton and made in Dominican Republic; the blue one is 100% cotton made in Honduras. The Ash shirt shrunk in the first wash so much the sleeves are too short to wear it unless I push up the sleeve. The Blue shirt is fine quality shirt all around. So I'm saying be careful...we just don't know nowdays what we will get for our money.",1,Buyer Beware...,1303776000,2011-04-26 00:00:00
A3MPJPNZOSVASJ,B0000ZC8GO,Jendoo,"[6, 7]","I bought some Old Navy fold-over jersey skirts in several colors for the summer, and took the ""no panty line promise"" seriously.  It didn't work for me.  Shows ight through...period.",1,Yes Panty Line,1310515200,2011-07-13 00:00:00
A3MPJPNZOSVASJ,B0000ZCENG,Jendoo,"[5, 5]","I bought some Old Navy fold-over jersey skirts in several colors for the summer and took the ""no panty line promise"" seriously.  It didn't work for me.  Shows right through...period.",1,Yes Panty Line,1310515200,2011-07-13 00:00:00
A33IPMQKIR650S,B0000ZEPGA,suz702,"[0, 0]","I read many positive reviews on this bra, which is why I was surprised to be disappointed once I put it on.It is comfortable and very stretchie  all over, fits true to size, my complaint is in the cups, there is no support at all, some ladies stated this bra gave the the look of torpedo boobs... That may be an improvement over having them look like a couple of wet noodles! I was looking for true support without under wires, and this does NOT deliver. Not even worth the postage to send it back! Good thing I also ordered a Glamorise Magic Lift, which is AWESOME, I will be ordering more of those and no more of these.",1,No Support,1311379200,2011-07-23 00:00:00
AC55TAK68IZ6G,B00012O12A,hernando padilla h,"[0, 2]","compre unos 34"" y parece que fueran como 36"" porque son grandisimos y me quedan super anchos. No me gustaron para nada",1,medida no es,1299542400,2011-08-03 00:00:00
A2AK480UW3Z2CK,B0000868O9,T P,"[2, 3]","I doubt anyone's body is this shape, or that anyone would rate the fabric as comfortable, it's scratchy!Nothing like the picture...",1,I think I must have been sent the wrong bra-,1314576000,2011-08-29 00:00:00
A2PFAF3PHAX4Q8,B0001YRJSG,"Glenn F. Scheuermann ""GLENN SCHEUERMANN""","[3, 8]",AS SOON AS I PUT THESE ON I BEGAN DEVISING A PLAN TO RETURN THEM TO OUR LOCAL KMART FOR AN EXCHANGE...TOOK TWO TRIES BUT I GOT THEM SWITCHED FOR A KMART BRAND THAT WAS MUCH BETTER....AND YOU COULD SIT DOWN IN THEM.,1,TOO THICK...MAKE YOU WALK LIKE FRANKSTIEN...,1323475200,2011-10-12 00:00:00
