Review_id,Attribute,Score,Reason
2,Comfort,,Not mentioned in the review.
4,Comfort,,Not explicitly mentioned in the review.
5,Comfort,,Not mentioned in the review.
6,Comfort,,Not mentioned in the review
7,Comfort,,Not mentioned in the review
8,Comfort,,Not mentioned in the review
9,Comfort,,Not mentioned in the review
12,Comfort,,Not mentioned in the review.
15,Comfort,,Not mentioned in the review.
16,Comfort,,Comfort was not explicitly mentioned in the review.
17,Comfort,,Comfort was not mentioned in the review.
18,Comfort,,"Comfort was not explicitly mentioned, though a great fit can imply comfort."
21,Comfort,,Comfort is not mentioned in the review.
22,Comfort,,Comfort is not mentioned in the review.
26,Comfort,,Not mentioned in the review.
27,Comfort,,Not mentioned in the review.
28,Comfort,,Not mentioned in the review.
29,Comfort,,Not mentioned in the review.
31,Comfort,,Not mentioned in the review.
32,Comfort,,Not mentioned in the review.
33,Comfort,,Not mentioned in the review.
36,Comfort,,Not mentioned in the review.
38,Comfort,,"Not explicitly mentioned as comfortable, though suitable for warmth is noted."
40,Comfort,,Not mentioned in the review.
41,Comfort,,Not mentioned in the review.
43,Comfort,,Not mentioned in the review.
44,Comfort,,Not mentioned in the review.
52,Comfort,,Not mentioned in the review.
53,Comfort,,Not mentioned in the review.
55,Comfort,,The review mentions 'lightweight tee fabric' but does not explicitly state the item is comfortable for the wearer.
58,Comfort,,Not mentioned in the review.
59,Comfort,,Not mentioned in the review.
61,Comfort,,Not mentioned in the review.
65,Comfort,,Not mentioned in the review.
66,Comfort,,Not mentioned in the review.
71,Comfort,,Not mentioned in the review.
72,Comfort,,Not mentioned in the review.
76,Comfort,,Not mentioned in the review.
77,Comfort,,Not mentioned in the review.
78,Comfort,,Not mentioned in the review.
80,Comfort,,Not mentioned in the review.
81,Comfort,,Not mentioned in the review.
52,Comfort,,Not mentioned in the review
53,Comfort,,Not mentioned in the review
55,Comfort,,Not mentioned in the review
58,Comfort,,Not mentioned in the review
59,Comfort,,Not mentioned in the review
61,Comfort,,Not mentioned in the review
65,Comfort,,Not mentioned in the review
66,Comfort,,Not mentioned in the review
70,Comfort,,Not mentioned in the review
71,Comfort,,Not mentioned in the review
72,Comfort,,Not mentioned in the review
76,Comfort,,Not mentioned in the review
77,Comfort,,Not mentioned in the review
78,Comfort,,Not mentioned in the review
80,Comfort,,Not mentioned in the review
81,Comfort,,Not mentioned in the review
83,Comfort,,Not mentioned in the review
84,Comfort,,Not mentioned in the review
85,Comfort,,Not mentioned in the review
86,Comfort,,Not mentioned in the review
88,Comfort,,Not mentioned in the review
89,Comfort,,Not mentioned in the review
90,Comfort,,Not mentioned in the review
91,Comfort,,Not mentioned in the review
92,Comfort,,Not mentioned in the review
95,Comfort,,Not mentioned in the review
96,Comfort,,Not mentioned in the review
98,Comfort,,Not mentioned in the review
102,Comfort,,Not mentioned in the review
103,Comfort,,Not mentioned in the review
105,Comfort,,Not mentioned in the review
107,Comfort,,Not mentioned in the review
112,Comfort,,Not mentioned in the review
116,Comfort,,Not mentioned in the review
117,Comfort,,Not mentioned in the review
122,Comfort,,Not mentioned in the review
123,Comfort,,Not mentioned in the review
124,Comfort,,Not mentioned in the review
125,Comfort,,Not mentioned in the review
126,Comfort,,Not mentioned in the review
129,Comfort,,Not mentioned in the review
138,Comfort,,Not mentioned in the review
139,Comfort,,Not mentioned in the review
144,Comfort,,Not mentioned in the review
147,Comfort,,Not mentioned in the review
149,Comfort,,Not mentioned in the review
150,Comfort,,Not mentioned in the review
151,Comfort,,Not mentioned in the review
152,Comfort,,Not mentioned in the review
153,Comfort,,Not mentioned in the review
155,Comfort,,Not mentioned in the review
157,Comfort,,Not mentioned in the review.
158,Comfort,,"The discomfort is a result of a sizing issue, not the inherent comfort of the material."
159,Comfort,,Not mentioned in the review.
164,Comfort,,Not mentioned in the review.
165,Comfort,,Not mentioned in the review.
174,Comfort,,Not mentioned in the review.
175,Comfort,,Not mentioned in the review.
180,Comfort,,Not mentioned in the review.
181,Comfort,,Not mentioned in the review.
184,Comfort,,Not mentioned in the review.
185,Comfort,,Not mentioned in the review.
186,Comfort,,Not mentioned in the review.
187,Comfort,,Not mentioned in the review.
188,Comfort,,Not mentioned in the review.
189,Comfort,,Not mentioned in the review.
195,Comfort,,Not mentioned in the review.
196,Comfort,,Not mentioned in the review.
197,Comfort,,Not mentioned in the review.
198,Comfort,,Not mentioned in the review.
200,Comfort,,Not mentioned in the review.
215,Comfort,,Comfort is not mentioned in the review.
238,Comfort,,"Comfort is not directly mentioned, but implied by overall dissatisfaction with how it looks."
262,Comfort,,Not mentioned in the review.
264,Comfort,,Not mentioned in the review.
265,Comfort,,Not mentioned in the review.
267,Comfort,,"Not explicitly mentioned, but the reviewer wore it on vacation, implying it was at least tolerable."
268,Comfort,,Not mentioned in the review.
269,Comfort,,Not mentioned in the review.
270,Comfort,,Not mentioned in the review.
273,Comfort,,Not mentioned in the review.
274,Comfort,,Not mentioned in the review.
277,Comfort,,Not mentioned in the review.
278,Comfort,,"Not explicitly mentioned, but the material becoming softer after washing implies comfort."
279,Comfort,,Not mentioned in the review.
283,Comfort,,Not mentioned in the review.
286,Comfort,,Not mentioned in the review.
287,Comfort,,Not mentioned in the review.
288,Comfort,,Not mentioned in the review.
289,Comfort,,"The softness is described in a 'weird way' that isn't flattering, not as a positive comfort aspect."
296,Comfort,,Not mentioned in the review.
297,Comfort,,Not mentioned in the review.
303,Comfort,,Not mentioned in the review.
304,Comfort,,Not mentioned in the review.
305,Comfort,,Not mentioned in the review.
306,Comfort,,"The reviewer noted it fits a little snug but was glad they sized up, so no clear comfort evaluation."
308,Comfort,,Not mentioned in the review.
309,Comfort,,Not mentioned in the review.
62,Comfort,-5,The item was very itchy due to tags and described as not comfortable at all.
62,Comfort,-5,The bralette was very itchy due to multiple tags and uncomfortable plastic thread.
162,Comfort,-5,"The top is described as 'so scratchy, stiff, and, frankly, uncomfortable'."
34,Comfort,-4,The reviewer found the wool to be itchy.
145,Comfort,-4,The item was described as scratchy.
154,Comfort,-4,The material was very uncomfortable.
203,Comfort,-4,The 'fabric feels cheap' and 'felt like a burlap sack'.
206,Comfort,-4,The size 10 was 'tight at the waist enough so I could not button it and feel comfortable'.
217,Comfort,-4,"The reviewer could barely pull it up over their butt, indicating a severe lack of comfort and wearability."
245,Comfort,-4,"The capris were 'super tight fitting' even after sizing up, indicating significant discomfort."
258,Comfort,-4,"The skirt runs very small, and the reviewer would have trouble breathing if worn, indicating severe discomfort."
11,Comfort,-3,"The dress was described as very tight, indicating discomfort."
23,Comfort,-3,"The slip has an awkward tight shape underneath, which negatively impacts comfort."
70,Comfort,-3,"The strange fit, with straps not staying up and a weird under-breast fit, caused discomfort."
119,Comfort,-3,The top felt very tight and pulled uncomfortably across the chest.
142,Comfort,-3,The top felt very tight when worn off the shoulder.
190,Comfort,-3,"Size 2 was 'unbearably tight', causing discomfort."
216,Comfort,-3,"The bodice felt very fitted and tight, especially at the waistband, indicating discomfort."
228,Comfort,-3,The reviewer felt the item was 'too tight' and was unsure if it would loosen.
233,Comfort,-3,"The fit on the underarm area hung very low, and the shirt was see-through, causing discomfort or modesty concerns."
240,Comfort,-3,"The armholes were cut very big, causing the sleeves to pull against the arms when moved forward, leading to discomfort."
244,Comfort,-3,"The small size was 'way too big' and the reviewer felt 'drowning in this,' indicating an uncomfortable fit."
247,Comfort,-3,"The item was 'too tight,' indicating discomfort."
